Rank   Author    Score
1      5284      0.002048402122633822
2      875      0.0019909498358929687
3      654      0.0017674856601102074
4      595      0.0016927104744134842
5      16297      0.001591362625031576
6      764      0.0015095977786421155
7      23770      0.001390961674942178
8      34659      0.0013797659990105971
9      28421      0.0013697497011617096
10      31637      0.0013438823539893513
